Gene symbol,Count All BIOGRID Interactions,Gene name,Relation to ALS,Count Left Interactions,Count Right Interactions
CDC37,25.0,,,18.0,7.0
KIF14,25.0,,,23.0,2.0
CYLD,25.0,,,16.0,9.0
CUL4B,24.0,,,21.0,3.0
HNRNPK,24.0,,,9.0,15.0
UBE2I,24.0,,,14.0,10.0
NXF1,24.0,,,17.0,7.0
HNRNPU,24.0,,,7.0,17.0
HNRNPR,24.0,,,5.0,19.0
SNCA,24.0,,,11.0,13.0
PRKCI,23.0,,,7.0,16.0
SFPQ,23.0,,,5.0,18.0
IRF3,23.0,,,9.0,14.0
HDAC2,22.0,,,12.0,10.0
NCOA4,22.0,,,8.0,14.0
STAU1,22.0,,,19.0,3.0
HSPB1,22.0,,,13.0,9.0
TNIP1,22.0,TNFAIP3 interacting protein 1,Moderate evidence,8.0,14.0
SYNCRIP,22.0,,,8.0,14.0
CDC5L,22.0,,,14.0,8.0
HIST1H4A,21.0,,,17.0,4.0
TRIM28,21.0,,,13.0,8.0
CIT,21.0,,,19.0,2.0
TNFAIP3,21.0,,,16.0,5.0
SMARCA4,21.0,,,7.0,14.0
HSPA1A,21.0,,,3.0,18.0
EZH2,21.0,,,13.0,8.0
LRRK2,21.0,,,18.0,3.0
DHX9,21.0,,,6.0,15.0
FYN,21.0,,,16.0,5.0
HEXIM1,21.0,,,19.0,2.0
VIMP,20.0,,,11.0,9.0
PCBP1,20.0,,,14.0,6.0
NDEL1,20.0,,,5.0,15.0
DDX20,20.0,,,8.0,12.0
IKBKG,20.0,,,16.0,4.0
CUL2,20.0,,,12.0,8.0
CAV1,20.0,caveolin 1,Unassigned,12.0,8.0
HNRNPA3,20.0,,,0.0,20.0
LARP7,20.0,,,16.0,4.0
ILF3,20.0,,,8.0,12.0
CHD4,19.0,,,11.0,8.0
KDR,19.0,kinase insert domain receptor,Tenuous,10.0,9.0
PSMD4,19.0,,,6.0,13.0
PAFAH1B1,19.0,,,9.0,10.0
UBXN1,19.0,,,10.0,9.0
NPM1,19.0,,,7.0,12.0
HNRNPA2B1,19.0,heterogeneous nuclear ribonucleoprotein A2/B1,Tenuous,4.0,15.0
SNRNP70,19.0,,,14.0,5.0
HIF1A,19.0,,,11.0,8.0
NCOA1,19.0,,,5.0,14.0
SMAD3,19.0,,,11.0,8.0
PRC1,19.0,,,18.0,1.0
PRKCZ,19.0,,,10.0,9.0
CDK9,19.0,,,15.0,4.0
TNIP2,19.0,,,18.0,1.0
PRMT1,19.0,,,11.0,8.0
SYVN1,19.0,,,11.0,8.0
COIL,19.0,,,9.0,10.0
GRB2,18.0,,,10.0,8.0
SIRT1,18.0,,,10.0,8.0
GABARAPL2,18.0,,,8.0,10.0
EFTUD2,18.0,,,14.0,4.0
MEPCE,18.0,,,16.0,2.0
BIRC3,18.0,,,18.0,0.0
BAG6,18.0,,,4.0,14.0
CUL7,18.0,,,17.0,1.0
GABARAPL1,18.0,,,9.0,9.0
NONO,18.0,,,1.0,17.0
LMBR1L,18.0,,,17.0,1.0
YWHAQ,18.0,,,9.0,9.0
MCM2,18.0,,,16.0,2.0
ATXN1,18.0,ataxin 1,Strong evidence,11.0,7.0
GABARAP,18.0,,,11.0,7.0
BRD4,18.0,,,17.0,1.0
TANK,18.0,,,9.0,9.0
KIF20A,18.0,,,18.0,0.0
DDX5,17.0,,,2.0,15.0
UBXN2A,17.0,,,4.0,13.0
PSEN1,17.0,presenilin-1,Tenuous,9.0,8.0
DNMT3L,17.0,,,14.0,3.0
WWOX,17.0,,,13.0,4.0
ATG16L1,17.0,,,15.0,2.0
HNRNPM,17.0,,,2.0,15.0
NRP1,17.0,,,13.0,4.0
HNRNPH3,17.0,,,4.0,13.0
EGLN3,17.0,,,16.0,1.0
PTPN11,17.0,,,4.0,13.0
FASN,17.0,,,12.0,5.0
HNRNPC,17.0,,,5.0,12.0
YBX1,17.0,,,6.0,11.0
DCTN1,17.0,dynactin subunit 1,Tenuous,7.0,10.0
NR2C2,17.0,,,16.0,1.0
VEGFA,17.0,vascular endothelial growth factor A,Tenuous,8.0,9.0
PTEN,17.0,,,12.0,5.0
HDAC4,16.0,,,10.0,6.0
CHMP4B,16.0,,,14.0,2.0
FAM120A,16.0,,,2.0,14.0
UBXN7,16.0,,,7.0,9.0
SNW1,16.0,,,13.0,3.0
RECQL4,16.0,,,16.0,0.0
ACTB,16.0,,,3.0,13.0
FN1,16.0,,,14.0,2.0
SMN2,16.0,"survival of motor neuron 2, centromeric",Tenuous,5.0,11.0
COPS5,16.0,,,15.0,1.0
G3BP1,16.0,,,9.0,7.0
ANLN,16.0,,,16.0,0.0
HNRNPUL1,16.0,,,2.0,14.0
POLR2A,16.0,,,5.0,11.0
UBE2M,16.0,,,11.0,5.0
RNF14,16.0,,,6.0,10.0
SNRPC,16.0,,,6.0,10.0
UBXN4,16.0,,,7.0,9.0
UBXN2B,15.0,,,4.0,11.0
SKP1,15.0,,,1.0,14.0
KRAS,15.0,,,15.0,0.0
PIAS2,15.0,,,7.0,8.0
TNF,15.0,,,13.0,2.0
TMPO,15.0,,,12.0,3.0
GEMIN2,15.0,,,4.0,11.0
ERLIN2,15.0,,,5.0,10.0
DDX17,15.0,,,1.0,14.0
DYNC1I2,15.0,,,11.0,4.0
RC3H1,15.0,,,13.0,2.0
SNRPD1,15.0,,,0.0,15.0
ILF2,15.0,,,1.0,14.0
TUBB,15.0,,,3.0,12.0
CANX,15.0,,,9.0,6.0
HNRNPDL,15.0,,,3.0,12.0
OBSL1,15.0,,,15.0,0.0
MAPK1,15.0,,,7.0,8.0
DERL1,15.0,,,6.0,9.0
XRCC6,15.0,,,7.0,8.0
EED,15.0,,,13.0,2.0
AZI2,14.0,,,6.0,8.0
PPIA,14.0,,,6.0,8.0
BCL2,14.0,,,7.0,7.0
TAX1BP1,14.0,,,8.0,6.0
SRSF3,14.0,,,4.0,10.0
FBXO6,14.0,,,13.0,1.0
APEX1,14.0,apurinic/apyrimidinic endodeoxyribonuclease 1,Tenuous,14.0,0.0
USP7,14.0,,,5.0,9.0
BMI1,14.0,,,13.0,1.0
CREBBP,14.0,,,6.0,8.0
RBFOX2,14.0,,,7.0,7.0
FUBP3,14.0,,,5.0,9.0
CAND1,14.0,,,13.0,1.0
CDK5,14.0,,,11.0,3.0
NCSTN,14.0,,,6.0,8.0
MAVS,14.0,,,7.0,7.0
RPA2,14.0,,,12.0,2.0
DDX3X,14.0,,,1.0,13.0
ITGA4,14.0,,,12.0,2.0
PSMA6,14.0,,,5.0,9.0
XPO1,14.0,,,12.0,2.0
HERPUD1,14.0,,,7.0,7.0
PTBP1,14.0,,,3.0,11.0
NBR1,14.0,,,5.0,9.0
PABPC4,14.0,,,0.0,14.0
PRMT5,13.0,,,6.0,7.0
TP53BP1,13.0,,,11.0,2.0
DISC1,13.0,DISC1 scaffold protein,Tenuous,12.0,1.0
CSK,13.0,,,9.0,4.0
RNF123,13.0,,,13.0,0.0
DNMT1,13.0,,,8.0,5.0
GAPDH,13.0,,,4.0,9.0
SOX2,13.0,,,12.0,1.0
MYO6,13.0,,,8.0,5.0
CUL5,13.0,,,11.0,2.0
NCOA2,13.0,,,3.0,10.0
NINL,13.0,,,12.0,1.0
NEDD8,13.0,,,11.0,2.0
SAFB,13.0,,,1.0,12.0
BCOR,13.0,,,7.0,6.0
RNF2,13.0,,,11.0,2.0
PRRC2A,13.0,,,4.0,9.0
RNF31,13.0,,,10.0,3.0
CDK1,13.0,,,8.0,5.0
CHD3,13.0,,,11.0,2.0
UBE4B,13.0,,,7.0,6.0
DAXX,13.0,,,6.0,7.0
TDRD3,13.0,,,7.0,6.0
DYNLT1,13.0,,,10.0,3.0
PIH1D1,13.0,,,12.0,1.0
HNRNPF,13.0,,,0.0,13.0
KIF23,13.0,,,13.0,0.0
VDAC1,13.0,,,7.0,6.0
GEMIN4,13.0,,,2.0,11.0
DDX6,13.0,,,6.0,7.0
SUZ12,13.0,,,10.0,3.0
RC3H2,13.0,,,10.0,3.0
CCDC8,13.0,,,13.0,0.0
U2AF2,13.0,,,5.0,8.0
USP14,13.0,,,10.0,3.0
HIST1H3A,13.0,,,11.0,2.0
FANCD2,13.0,,,13.0,0.0
P4HB,12.0,,,1.0,11.0
PIAS1,12.0,,,7.0,5.0
ECT2,12.0,,,12.0,0.0
VIM,12.0,,,7.0,5.0
MED1,12.0,,,3.0,9.0
SPRTN,12.0,,,11.0,1.0
HNRNPAB,12.0,,,0.0,12.0
KAT5,12.0,,,7.0,5.0
IMMT,12.0,,,2.0,10.0
CIC,12.0,,,8.0,4.0
YWHAE,12.0,,,4.0,8.0
ITCH,12.0,,,9.0,3.0
PIN1,12.0,,,10.0,2.0
BAG1,12.0,,,7.0,5.0
RPA3,12.0,,,10.0,2.0
NCOA3,12.0,,,3.0,9.0
VCAM1,12.0,,,12.0,0.0
PPP1CC,12.0,,,5.0,7.0
SPI1,12.0,,,9.0,3.0
SNRPB,12.0,,,3.0,9.0
XIAP,12.0,,,7.0,5.0
NUPR1,12.0,,,12.0,0.0
INSR,12.0,,,6.0,6.0
CCND1,12.0,,,10.0,2.0
DDX1,12.0,,,3.0,9.0
DCTN2,12.0,,,6.0,6.0
ERBB4,12.0,erb-b2 receptor tyrosine kinase 4,Moderate evidence,6.0,6.0
UBE3A,12.0,,,10.0,2.0
AAR2,12.0,,,11.0,1.0
RBM45,12.0,,,8.0,4.0
TRIM21,12.0,,,6.0,6.0
MTA1,12.0,,,4.0,8.0
MTCH2,12.0,,,8.0,4.0
PRKACA,12.0,,,12.0,0.0
ENO1,12.0,,,4.0,8.0
HAX1,12.0,,,9.0,3.0
NFKBIA,12.0,,,4.0,8.0
RAD23A,12.0,,,7.0,5.0
TBKBP1,12.0,,,4.0,8.0
ULK1,12.0,,,7.0,5.0
PRPF8,12.0,,,7.0,5.0
RBMX,11.0,,,0.0,11.0
FBXW11,11.0,,,8.0,3.0
MAGEA11,11.0,,,3.0,8.0
CALCOCO2,11.0,,,6.0,5.0
LAMP1,11.0,,,6.0,5.0
PPARG,11.0,,,10.0,1.0
IQGAP1,11.0,,,3.0,8.0
IGF2BP2,11.0,,,4.0,7.0
ZC3H18,11.0,,,9.0,2.0
SNRPD2,11.0,,,0.0,11.0
MAD2L2,11.0,,,11.0,0.0
CALM1,11.0,,,7.0,4.0
XRCC5,11.0,,,0.0,11.0
NIN,11.0,,,11.0,0.0
SGTA,11.0,,,2.0,9.0
ATP5A1,11.0,,,2.0,9.0
TFRC,11.0,,,3.0,8.0
WDR77,11.0,,,9.0,2.0
TRIB3,11.0,,,5.0,6.0
SRPK1,11.0,,,7.0,4.0
VRK1,11.0,VRK serine/threonine kinase 1,Tenuous,7.0,4.0
DYNC1LI1,11.0,,,8.0,3.0
ACTC1,11.0,,,10.0,1.0
KHDRBS1,11.0,,,1.0,10.0
PRPF19,11.0,,,1.0,10.0
TSG101,11.0,,,7.0,4.0
RB1CC1,11.0,,,5.0,6.0
PRDX2,11.0,,,1.0,10.0
BTRC,11.0,,,3.0,8.0
DYNC1H1,11.0,dynein cytoplasmic 1 heavy chain 1,Tenuous,5.0,6.0
PRMT8,11.0,,,10.0,1.0
GEMIN5,11.0,,,3.0,8.0
PDHA1,11.0,,,6.0,5.0
DYNC1I1,11.0,,,9.0,2.0
TRAF1,11.0,,,7.0,4.0
CCAR2,11.0,,,3.0,8.0
BCL6,11.0,BCL6 transcription repressor,Tenuous,5.0,6.0
IKBKAP,11.0,,,8.0,3.0
JUN,11.0,,,4.0,7.0
RPA1,11.0,,,10.0,1.0
IGF2BP1,11.0,,,3.0,8.0
PIK3R1,11.0,,,5.0,6.0
RELA,11.0,,,3.0,8.0
UNK,11.0,,,9.0,2.0
CDK2,11.0,,,9.0,2.0
PSEN2,11.0,,,4.0,7.0
PPT1,11.0,,,11.0,0.0
TAF15,11.0,TATA-box binding protein associated factor 15,Tenuous,5.0,6.0
TRIM32,11.0,,,6.0,5.0
SNRNP200,11.0,,,2.0,9.0
SRPK2,10.0,,,7.0,3.0
NOS3,10.0,,,5.0,5.0
CASP8,10.0,,,8.0,2.0
SH3GL3,10.0,,,5.0,5.0
SMCR8,10.0,,,2.0,8.0
YOD1,10.0,,,7.0,3.0
HNRNPH2,10.0,,,2.0,8.0
SUMO2,10.0,,,5.0,5.0
BYSL,10.0,,,6.0,4.0
BICD2,10.0,,,7.0,3.0
KIFC3,10.0,,,5.0,5.0
UCHL1,10.0,,,5.0,5.0
HSP90AB1,10.0,,,2.0,8.0
RUVBL2,10.0,,,2.0,8.0
WWP2,10.0,,,9.0,1.0
CCS,10.0,copper chaperone for superoxide dismutase,Tenuous,4.0,6.0
HIST1H1A,10.0,,,5.0,5.0
CELF1,10.0,,,9.0,1.0
SLC25A46,10.0,,,9.0,1.0
VAPA,10.0,,,7.0,3.0
ATP5B,10.0,,,2.0,8.0
FGFR1,10.0,,,4.0,6.0
HNRNPUL2,10.0,,,0.0,10.0
CFL1,10.0,,,1.0,9.0
PPP1CA,10.0,,,6.0,4.0
PTGS2,10.0,,,5.0,5.0
ARIH2,10.0,,,8.0,2.0
RIPK1,10.0,,,1.0,9.0
PPP2R1A,10.0,,,2.0,8.0
APH1A,10.0,,,7.0,3.0
RIC8A,10.0,,,4.0,6.0
ZFR,10.0,,,0.0,10.0
ZNF326,10.0,,,1.0,9.0
PGK1,10.0,,,1.0,9.0
TICAM1,10.0,,,7.0,3.0
PHB2,10.0,,,1.0,9.0
PTGES3,10.0,,,4.0,6.0
RAD54L2,10.0,,,7.0,3.0
THRAP3,10.0,,,0.0,10.0
ERG,10.0,,,8.0,2.0
PTPN1,10.0,,,9.0,1.0
PLCG1,10.0,,,3.0,7.0
OCIAD1,10.0,,,6.0,4.0
DYNC1LI2,10.0,,,7.0,3.0
TMEM173,10.0,,,8.0,2.0
CEP55,9.0,,,2.0,7.0
PPP2CA,9.0,,,3.0,6.0
DAP3,9.0,,,1.0,8.0
DHX15,9.0,,,1.0,8.0
DCTN4,9.0,,,5.0,4.0
RALY,9.0,,,0.0,9.0
PDCD6,9.0,,,2.0,7.0
TXNDC5,9.0,,,3.0,6.0
CSNK1D,9.0,,,7.0,2.0
FKBP8,9.0,,,7.0,2.0
IGF2BP3,9.0,,,2.0,7.0
BAG3,9.0,,,7.0,2.0
PRDX5,9.0,,,3.0,6.0
WHSC1,9.0,,,5.0,4.0
CSNK2A1,9.0,,,8.0,1.0
MTHFD1,9.0,,,1.0,8.0
PSMA3,9.0,,,9.0,0.0
BRD7,9.0,,,8.0,1.0
DAZAP2,9.0,,,3.0,6.0
UPF1,9.0,,,0.0,9.0
AGRN,9.0,,,8.0,1.0
ANXA2,9.0,,,1.0,8.0
TUBA1A,9.0,,,6.0,3.0
DNAJC10,9.0,,,3.0,6.0
MAP2K5,9.0,,,5.0,4.0
USP8,9.0,,,5.0,4.0
SH3GL2,9.0,,,4.0,5.0
SHC1,9.0,,,5.0,4.0
TUBB3,9.0,,,1.0,8.0
IARS,9.0,,,1.0,8.0
HGS,9.0,,,6.0,3.0
MBD3,9.0,,,3.0,6.0
PSMC2,9.0,,,2.0,7.0
PSMD14,9.0,,,6.0,3.0
VDR,9.0,vitamin D receptor,Tenuous,5.0,4.0
SIK2,9.0,,,9.0,0.0
CBX5,9.0,,,5.0,4.0
METTL14,9.0,,,9.0,0.0
UBL4A,9.0,,,7.0,2.0
HDAC3,9.0,,,3.0,6.0
EEF2,9.0,,,0.0,9.0
TXLNA,9.0,,,5.0,4.0
RBBP4,9.0,,,3.0,6.0
ABL1,9.0,,,5.0,4.0
POR,9.0,,,3.0,6.0
ERBB2,9.0,,,6.0,3.0
LDHB,9.0,,,2.0,7.0
LDHA,9.0,,,1.0,8.0
DDB1,9.0,,,4.0,5.0
RMDN3,9.0,,,4.0,5.0
CRBN,9.0,,,6.0,3.0
XRN2,9.0,,,2.0,7.0
IST1,9.0,,,2.0,7.0
RAC1,9.0,,,3.0,6.0
PKM,9.0,,,2.0,7.0
USP9X,9.0,,,3.0,6.0
UBE2D2,9.0,,,6.0,3.0
RPS27A,9.0,,,1.0,8.0
RPS3A,9.0,,,1.0,8.0
CTNND1,9.0,,,2.0,7.0
CDH1,9.0,,,9.0,0.0
ACTR1A,9.0,,,3.0,6.0
IKBKE,9.0,,,3.0,6.0
RAB8A,9.0,,,2.0,7.0
SPOP,9.0,,,4.0,5.0
FBL,9.0,,,4.0,5.0
CHMP4C,9.0,,,9.0,0.0
PRNP,9.0,,,9.0,0.0
RPS6KB2,9.0,,,8.0,1.0
RPS6KB1,9.0,,,4.0,5.0
UBXN8,9.0,,,5.0,4.0
AES,8.0,,,6.0,2.0
COX15,8.0,,,7.0,1.0
TPI1,8.0,,,1.0,7.0
NGLY1,8.0,,,3.0,5.0
ZYX,8.0,,,4.0,4.0
UBQLN4,8.0,,,3.0,5.0
C14orf166,8.0,,,0.0,8.0
EPS15,8.0,,,3.0,5.0
EEF1D,8.0,,,4.0,4.0
STAT3,8.0,,,3.0,5.0
HNRNPA0,8.0,,,0.0,8.0
RAB7A,8.0,,,4.0,4.0
RHOA,8.0,,,3.0,5.0
MIB1,8.0,,,4.0,4.0
TTC1,8.0,,,4.0,4.0
ITFG1,8.0,,,8.0,0.0
ATG5,8.0,,,4.0,4.0
FEN1,8.0,,,4.0,4.0
RARA,8.0,,,5.0,3.0
ACTN1,8.0,,,0.0,8.0
PDIA3,8.0,,,3.0,5.0
SMURF1,8.0,,,7.0,1.0
ECSIT,8.0,,,2.0,6.0
PPM1B,8.0,,,1.0,7.0
ANXA5,8.0,,,0.0,8.0
SVIP,8.0,,,5.0,3.0
BRD1,8.0,,,7.0,1.0
WDR41,8.0,,,2.0,6.0
DNAAF2,8.0,,,8.0,0.0
BIN1,8.0,,,5.0,3.0
CDC73,8.0,,,5.0,3.0
CUL4A,8.0,,,7.0,1.0
YTHDF2,8.0,,,3.0,5.0
MEOX2,8.0,,,3.0,5.0
SIN3A,8.0,,,2.0,6.0
PSMC3,8.0,,,4.0,4.0
MARCH5,8.0,,,6.0,2.0
VASP,8.0,,,6.0,2.0
TRA2B,8.0,,,1.0,7.0
CAV2,8.0,caveolin 2,Unassigned,5.0,3.0
MAPK3,8.0,,,4.0,4.0
EMC2,8.0,,,5.0,3.0
EMC1,8.0,,,5.0,3.0
CDKN1A,8.0,,,5.0,3.0
DLG4,8.0,,,2.0,6.0
SF1,8.0,,,1.0,7.0
SRSF9,8.0,,,0.0,8.0
ALB,8.0,,,5.0,3.0
SRSF7,8.0,,,0.0,8.0
RBM14,8.0,,,0.0,8.0
CAPZA2,8.0,,,5.0,3.0
HSPD1,8.0,,,2.0,6.0
UBE2D3,8.0,,,5.0,3.0
NOS2,8.0,,,5.0,3.0
RBX1,8.0,,,6.0,2.0
MDFI,8.0,,,6.0,2.0
ST13,8.0,,,0.0,8.0
UBB,8.0,,,2.0,6.0
DDX21,8.0,,,1.0,7.0
HECW2,8.0,,,7.0,1.0
DDX23,8.0,,,0.0,8.0
TUBA1B,8.0,,,0.0,8.0
REL,8.0,,,5.0,3.0
PSENEN,8.0,,,4.0,4.0
PLAA,8.0,,,4.0,4.0
YWHAB,8.0,,,2.0,6.0
LRIG1,8.0,,,6.0,2.0
RPL4,8.0,,,0.0,8.0
LRPPRC,8.0,,,2.0,6.0
YWHAG,8.0,,,1.0,7.0
EMD,8.0,,,5.0,3.0
VCPIP1,8.0,,,5.0,3.0
MTDH,8.0,,,5.0,3.0
TES,8.0,,,7.0,1.0
PTPN6,8.0,,,3.0,5.0
SMAD1,8.0,,,4.0,4.0
NDUFS3,8.0,,,3.0,5.0
OTUD4,8.0,,,3.0,5.0
ZC3HAV1,8.0,,,3.0,5.0
ADAR,8.0,,,0.0,8.0
RAD51,8.0,,,5.0,3.0
RUVBL1,8.0,,,1.0,7.0
RPS9,8.0,,,0.0,8.0
BARD1,8.0,,,7.0,1.0
ADRB2,8.0,,,8.0,0.0
UHRF1,8.0,,,2.0,6.0
OFD1,8.0,,,6.0,2.0
FUBP1,8.0,,,2.0,6.0
SMARCC2,8.0,,,1.0,7.0
DNMT3B,8.0,DNA methyltransferase 3 beta,Tenuous,2.0,6.0
RRBP1,8.0,,,0.0,8.0
SMARCD1,8.0,,,3.0,5.0
RQCD1,8.0,,,6.0,2.0
KIF3A,8.0,,,2.0,6.0
SMARCE1,8.0,,,4.0,4.0
MTOR,8.0,,,2.0,6.0
CEP170,8.0,,,1.0,7.0
PSMA5,8.0,,,3.0,5.0
SMARCC1,8.0,,,1.0,7.0
WWP1,7.0,,,5.0,2.0
SERBP1,7.0,,,1.0,6.0
ARAF,7.0,,,7.0,0.0
NUMA1,7.0,,,1.0,6.0
NCL,7.0,,,0.0,7.0
PIAS4,7.0,,,1.0,6.0
NFKB1,7.0,,,5.0,2.0
BAG2,7.0,,,1.0,6.0
METTL3,7.0,,,7.0,0.0
FADD,7.0,,,4.0,3.0
RAD23B,7.0,,,2.0,5.0
PIK3R2,7.0,,,2.0,5.0
FOXA1,7.0,,,6.0,1.0
MDC1,7.0,,,5.0,2.0
PA2G4,7.0,,,5.0,2.0
SAFB2,7.0,,,1.0,6.0
SIRT7,7.0,,,7.0,0.0
HACE1,7.0,,,4.0,3.0
NRIP1,7.0,,,4.0,3.0
COPS6,7.0,,,5.0,2.0
RHOT2,7.0,,,6.0,1.0
NUDT21,7.0,,,2.0,5.0
UBE2A,7.0,,,7.0,0.0
UBAP2L,7.0,,,2.0,5.0
DLD,7.0,,,4.0,3.0
H2AFX,7.0,,,7.0,0.0
RBBP7,7.0,,,3.0,4.0
ANKRD13A,7.0,,,3.0,4.0
HADHB,7.0,,,0.0,7.0
COPA,7.0,,,1.0,6.0
TUBA1C,7.0,,,3.0,4.0
LNX1,7.0,,,4.0,3.0
NCK1,7.0,,,3.0,4.0
RPN2,7.0,,,1.0,6.0
RHBDD1,7.0,,,5.0,2.0
RPN1,7.0,,,3.0,4.0
PRPF6,7.0,,,1.0,6.0
RCHY1,7.0,,,4.0,3.0
INSIG1,7.0,,,4.0,3.0
FLNA,7.0,,,2.0,5.0
UBXN10,7.0,,,4.0,3.0
CTDSPL2,7.0,,,4.0,3.0
CLTC,7.0,,,1.0,6.0
ATXN2,7.0,ataxin 2,Clinical modifier,1.0,6.0
ACAA2,7.0,,,1.0,6.0
RPL6,7.0,,,0.0,7.0
SH2D2A,7.0,,,4.0,3.0
AKAP8,7.0,,,0.0,7.0
PUM1,7.0,,,3.0,4.0
SRSF6,7.0,,,0.0,7.0
UXT,7.0,,,6.0,1.0
AKTIP,7.0,,,7.0,0.0
PML,7.0,,,4.0,3.0
MAP3K3,7.0,,,3.0,4.0
EIF4ENIF1,7.0,,,2.0,5.0
CLU,7.0,,,4.0,3.0
MAP1LC3C,7.0,,,3.0,4.0
HIST3H3,7.0,,,4.0,3.0
ACACA,7.0,,,3.0,4.0
TNFRSF1A,7.0,,,4.0,3.0
AURKA,7.0,,,6.0,1.0
PSMD2,7.0,,,2.0,5.0
RBPMS,7.0,,,0.0,7.0
ZBTB16,7.0,,,1.0,6.0
PRKDC,7.0,,,2.0,5.0
HSPA13,7.0,,,5.0,2.0
ALYREF,7.0,,,0.0,7.0
LITAF,7.0,,,3.0,4.0
SRSF1,7.0,,,0.0,7.0
HEY1,7.0,,,7.0,0.0
TUFM,7.0,,,3.0,4.0
TUBB2A,7.0,,,2.0,5.0
CD81,7.0,,,7.0,0.0
DNM1L,7.0,,,4.0,3.0
INS,7.0,,,7.0,0.0
AJUBA,7.0,,,4.0,3.0
RPL13,7.0,,,0.0,7.0
MARK2,7.0,,,2.0,5.0
SHC2,7.0,,,2.0,5.0
DNAJA1,7.0,,,0.0,7.0
NOTCH1,7.0,,,4.0,3.0
AURKB,7.0,,,6.0,1.0
NME7,7.0,,,4.0,3.0
H1FX,7.0,,,0.0,7.0
DCUN1D1,7.0,,,7.0,0.0
RANBP9,7.0,,,3.0,4.0
MRPS18B,7.0,,,0.0,7.0
NLRP3,7.0,,,4.0,3.0
HRAS,7.0,,,7.0,0.0
IRAK2,7.0,,,4.0,3.0
